edit_id,server-name
DELEUM/$DUPLICATE-1071,deleumHQ_SSO
DELEUM/$DUPLICATE-1644,deleumHQ_SSO
DELEUM/$DUPLICATE-19EA,deleumHQ_SSO
DELEUM/$DUPLICATE-1BD9,deleumHQ_SSO
DELEUM/$DUPLICATE-E99,deleumHQ_SSO
DELEUM/ACAB,deleumHQ_SSO
DELEUM/ACCESS CONTROL ASSISTANCE OPERATORS,deleumHQ_SSO
DELEUM/ACCESS-DENIED ASSISTANCE USERS,deleumHQ_SSO
DELEUM/ACCOUNT OPERATORS,deleumHQ_SSO
DELEUM/ADMIN,deleumHQ_SSO
DELEUM/ADMINISTRATION,deleumHQ_SSO
DELEUM/ADMINISTRATORS,deleumHQ_SSO
DELEUM/AIS,deleumHQ_SSO
DELEUM/AIS-CHEMICALS,deleumHQ_SSO
DELEUM/ALLOWED RODC PASSWORD REPLICATION GROUP,deleumHQ_SSO
DELEUM/AP,deleumHQ_SSO
DELEUM/BACKUP OPERATORS,deleumHQ_SSO
DELEUM/CERT PUBLISHERS,deleumHQ_SSO
DELEUM/CERTIFICATE SERVICE DCOM ACCESS,deleumHQ_SSO
DELEUM/CLONEABLE DOMAIN CONTROLLERS,deleumHQ_SSO
DELEUM/CORPORATE AFFAIRS,deleumHQ_SSO
DELEUM/CORPORATE FINANCE,deleumHQ_SSO
DELEUM/CORPORATE SERVICES,deleumHQ_SSO
DELEUM/CRYPTOGRAPHIC OPERATORS,deleumHQ_SSO
DELEUM/DC2 $ ACRONIS CENTRALIZED ADMINS,deleumHQ_SSO
DELEUM/DCSB-KL,deleumHQ_SSO
DELEUM/DCSB.KL.RECRUITMENT,deleumHQ_SSO
DELEUM/DENIED RODC PASSWORD REPLICATION GROUP,deleumHQ_SSO
DELEUM/DHCP ADMINISTRATORS,deleumHQ_SSO
DELEUM/DHCP USERS,deleumHQ_SSO
DELEUM/DISTRIBUTED COM USERS,deleumHQ_SSO
DELEUM/DNSADMINS,deleumHQ_SSO
DELEUM/DNSUPDATEPROXY,deleumHQ_SSO
DELEUM/DOMAIN ADMINS,deleumHQ_SSO
DELEUM/DOMAIN COMPUTERS,deleumHQ_SSO
DELEUM/DOMAIN CONTROLLERS,deleumHQ_SSO
DELEUM/DOMAIN GUESTS,deleumHQ_SSO
DELEUM/DOMAIN USERS,deleumHQ_SSO
DELEUM/DOSSB PROCUREMENT,deleumHQ_SSO
DELEUM/DOSSB-KL,deleumHQ_SSO
DELEUM/DOSSB-KSB,deleumHQ_SSO
DELEUM/DOSSB-KSB-ADMIN,deleumHQ_SSO
DELEUM/DOSSB-KSB-STORE,deleumHQ_SSO
DELEUM/DOSSB-LABUAN,deleumHQ_SSO
DELEUM/DOSSB-MIRI,deleumHQ_SSO
DELEUM/DOSSB-MIRI-ADMIN,deleumHQ_SSO
DELEUM/DOSSB-MIRI-ADMIN-PNC,deleumHQ_SSO
DELEUM/DOSSB-MIRI-QHSE,deleumHQ_SSO
DELEUM/DOSSB-SHELLSLICKLINE,deleumHQ_SSO
DELEUM/DOSSB.KK.RECRUITMENT,deleumHQ_SSO
DELEUM/DPSB-ADMIN,deleumHQ_SSO
DELEUM/DPSB-BINTULU,deleumHQ_SSO
DELEUM/DPSB-ERP,deleumHQ_SSO
DELEUM/DPSB-ISO,deleumHQ_SSO
DELEUM/DPSB-KL,deleumHQ_SSO
DELEUM/DPSB-OPERATION HQ,deleumHQ_SSO
DELEUM/DPSB-PROCUREMENT,deleumHQ_SSO
