edit_id,description,event-type,license-type,logid
AV & IPS DB update,The antivirus and IPS database has been updated.,virus-ips-db-updated,,
Admin Login,A FortiOS event with specified log ID has occurred.,event-log,,32001
Anomaly Logs,An anomalous event has occurred.,anomaly-logs,,
Any Security Rating Notification,A security rating summary report has been generated.,security-rating-summary,,
Auto Firmware upgrade,Automatic firmware upgrade.,event-log,,"32263, 22094, 22095"
Compromised Host,An incident of compromise has been detected on a host endpoint.,,,
Configuration Change,An administrator\'s session that changed a FortiGate\'s configuration has ended.,config-change,,
Conserve Mode,A FortiGate has entered conserve mode due to low memory.,low-memory,,
FortiAnalyzer Connection Down,,event-log,,22902
HA Failover,,ha-failover,,
High CPU,A FortiGate has high CPU usage.,high-cpu,,
IPS Logs,An IPS event has occurred.,ips-logs,,
Incoming Webhook Call,,incoming-webhook,,
License Expired Notification,,license-near-expiry,any,
License Expiry,A FortiGate license is near expiration.,license-near-expiry,any,
Local Cert Expired Notification,Default automation trigger configuration for when a local certificate is near expiration.,local-cert-near-expiry,,
Local Certificate Expiry,A local certificate is near expiration.,local-cert-near-expiry,,
Network Down,,event-log,,20099
Reboot,,reboot,,
SSH Logs,A SSH event has occurred.,ssh-logs,,
Security Rating Notification,,security-rating-summary,,
Traffic Violation,A traffic policy has been violated.,traffic-violation,,
Virus Logs,A virus event has occurred.,virus-logs,,
Webfilter Violation,A webfilter policy has been violated.,webfilter-violation,,
